Part Number,QtyRealTimeOnHand,QtyOnPurchaseOrder,Minimum_Stock_Level,Custom_Real_01
MSP-4000-S-30,19,0,15,1
MSP-4000-S-350,16,0,5,1
MSP-4000-S-61,0,0,0,1
MSP-5000-B-150,11,0,10,1
MSP-5000-B-250,11,0,10,1
MSP-5000-B-30,18,0,10,1
MSP-5000-B-350,10,0,0,1
MSP-5000-S-150,16,0,10,1
MSP-5000-S-250,11,0,10,1
MSP-5000-S-30,19,0,10,1
MSP-5000-S-300,0,0,0,1
MSP-5000-S-350,10,0,0,1
MSP-5000-S-400,8,0,0,1
MSP-6000-B-150,0,0,0,1
MSP-6000-S-150,4,0,0,1
MTK-2700-B,68,0,50,1
MTK-2700-S,118,0,50,1
MTK-3000-B,106,0,100,1
MTK-3000-S,190,0,100,1
MTK-3000-WH,0,0,0,1
MTK-4000-B,35,0,25,1
MTK-4000-S,25,0,25,1
MTK-4200-B,0,0,0,1
MTK-4200-S,0,0,0,1
MTK-5000-B,31,0,15,1
MTK-5000-S,25,0,15,1
MTK-6000-B,42,0,0,1
MTK-6000-S,44,0,0,1
MTK-CONN,154,0,100,1
MUP-2700K-16D-B,2,0,0,1
MUP-2700K-16D-B-GC,0,0,0,1
MUP-2700K-16D-S,0,0,0,1
MUP-2700K-16D-S-GC,0,0,0,1
MUP-2700K-24D-B,2,0,0,1
MUP-2700K-24D-B-GC,0,0,0,1
MUP-2700K-24D-S,0,0,0,1
MUP-2700K-24D-S-GC,0,0,0,1
MUP-3000K-16D-B,2,0,0,1
MUP-3000K-16D-B-GC,0,0,0,1
MUP-3000K-16D-S,0,0,0,1
MUP-3000K-16D-S-GC,0,0,0,1
MUP-3000K-24D-B,2,0,0,1
MUP-3000K-24D-B-GC,0,0,0,1
MUP-3000K-24D-S,0,0,0,1
MUP-3000K-24D-S-GC,0,0,0,1
MUP-3500K-16D-B,0,0,0,1
MUP-3500K-16D-B-GC,0,0,0,1
MUP-3500K-16D-S,0,0,0,1
MUP-3500K-16D-S-GC,0,0,0,1
MUP-3500K-24D-B,0,0,0,1
MUP-3500K-24D-B-GC,0,0,0,1
MUP-3500K-24D-S,0,0,0,1
MUP-3500K-24D-S-GC,0,0,0,1
MUP-4000K-16D-B,0,0,0,1
MUP-4000K-16D-B-GC,0,0,0,1
MUP-4000K-16D-S,0,0,0,1
MUP-4000K-16D-S-GC,0,0,0,1
MUP-4000K-24D-B,0,0,0,1
MUP-4000K-24D-B-GC,0,0,0,1
MUP-4000K-24D-S,0,0,0,1
MUP-4000K-24D-S-GC,0,0,0,1
NSY-TP,303,0,50,1
NSY-TP-200,32,0,50,1
NYLOC-832,624,0,0,1
OB-B-1200,0,0,0,0
OB-S-1200,0,0,0,0
OBS01-2700-16-B,0,0,0,0
OBS01-2700-16-S,0,0,0,0
OBS01-2700-24-B,0,0,0,0
OBS01-2700-24-S,0,0,0,0
OBS01-2700-30-B,0,0,0,0
OBS01-2700-30-S,0,0,0,0
OBS01-3000-16-B,0,0,0,0
OBS01-3000-16-S,0,0,0,0
OBS01-3000-24-B,0,0,0,0
OBS01-3000-24-S,0,0,0,0
OBS01-3000-30-B,0,0,0,0
OBS01-3000-30-S,0,0,0,0
OBS01-3500-16-B,0,0,0,0
OBS01-3500-16-S,0,0,0,0
OBS01-3500-24-B,0,0,0,0
OBS01-3500-24-S,0,0,0,0
OBS01-3500-30-B,0,0,0,0
OBS01-3500-30-S,0,0,0,0
OBS01-4000-16-B,0,0,0,0
OBS01-4000-16-S,0,0,0,0
OBS01-4000-24-B,0,0,0,0
OBS01-4000-24-S,0,0,0,0
OBS01-4000-30-B,0,0,0,0
OBS01-4000-30-S,0,0,0,0
OBS01-5000-16-B,0,0,0,0
OBS01-5000-16-S,0,0,0,0
OBS01-5000-24-B,0,0,0,0
OBS01-5000-24-S,0,0,0,0
OBS01-5000-30-B,0,0,0,0
OBS01-5000-30-S,0,0,0,0
OCPPLATE,5,0,0,1
OL-CON-2M,73,0,50,1
OL-EC,70,0,50,1
OL-EXT-10M,50,0,25,1
OL-EXT-1M,38,0,25,1
OL-EXT-5M,48,0,25,1
OL270015-1,67,0,50,1
OL270015-3,33,0,0,1
OL300015-1,46,0,0,1
OL300015-3,61,0,20,1
OL400015-1,72,0,50,1
OL400015-3,38,0,20,1
OPT-115,99,0,100,1
OPT-75,187,0,100,1
OPT-CC,1288,0,100,1
OPT-LSKT,308,0,100,1
OPT-MB,889,0,100,1
OPT-SH,401,0,100,1
OPT-USKT,308,0,100,1
OPTIMA-DS2,0,0,0,1
P063DH,990,0,0,1
PF-B,2501,0,0,1
PF-G,4531,0,0,1
PF-S,0,0,0,1
PHMS-832-3125,0,0,0,1
PHMS-832-625,0,0,0,1
PHSTT-440-375,0,0,0,1
PLED-AM,10600.14,0,0,1
PLED-BL,15700.42,0,0,1
PLED-GR,11799.56,0,0,1
PLED-IW,14368.47,0,0,1
PLED-RD,6099.55,0,0,1
PLED-WH,6099.16,0,0,1
PS-BASE-B,821,0,0,1
PS-BASE-F,1484,0,0,1
PS-BASE-O,475,0,0,1
PS-BASE-P,962,0,0,1
PS-BASE-R,402,0,0,1
PS-CAP-B,1218,0,0,1
PS-CAP-F,1502,0,0,1
PS-CAP-O,472,0,0,1
PS-CAP-P,1242,0,0,1
PS-CAP-R,398,0,0,1
RC-101A,2000,0,0,1
RC-101B,1700,0,0,1
RC-101G,3200,0,0,1
RC-101R,3100,0,0,1
RC-101W,2200,0,0,1
RC-105A,1425,0,0,1
RC-105B,4525,0,0,1
RC-105G,2900,0,0,1
RC-105R,1425,0,0,1
RC-105W,2400,0,0,1
RC-B,4489.04,0,5000,1
RC-BL,890,0,0,1
RC-CP,5301,0,2500,1
RC-DF,227.82,0,0,1
RC-EC,1261,0,500,1
RC-GL,537,0,0,1
RC-KB,497,0,0,1
RC-LV,697,0,0,1
RC-RD,1764,0,0,1
RC-RS,393,0,0,1
RC-S,6350.748,0,5000,1
RC-TL,660,0,0,1
RCASE,22,0,0,1
RCP,27,0,0,1
RGB-CTR,0,0,0,1
RKF,29,0,0,1
RKP,12,0,0,1
RKROLLER,4,0,0,1
RS-GC,3469,0,0,1
RV-2200-SP,10.2,0,0,1
RV-2400-120D,1025.41,0,1000,1
RV-2400-SP,1420.4,0,1000,1
RV-2700-120D,2142.89,0,2000,1
RV-2700-SP,4047.14,2500,4000,1
RV-2700-SP-WH,199,0,0,1
RV-3000-120D,3375.22,0,2000,1
RV-3000-SP,4709.63,0,4000,1
RV-3500-120D,1590,0,0,1
RV-4200-120D,1540.9,0,0,1
RV-4200-120D-WH,22.38,0,0,1
RV-4200-SP,914.89,0,0,1
RV-5500-120D,3558,0,2000,1
RV-5500-SP,4333.04,0,2000,1
RV-AB,785,0,200,1
RV-BFL,821,0,0,1
RV-BL-120D,2317.35,0,2000,1
RV-BL-SP,1247.75,700,2000,1
RV-CH-BK-2.4M,292,0,0,1
RV-CH-SV-2.4M,180.55,250,200,1
RV-CONTACT,40533.594,0,20000,1
RV-EC-BK,0,0,0,1
RV-EP-SCR,8800,0,5000,1
RV-FB,148,400,200,1
RV-GL-DC,8,0,0,1
RV-GL-ED-L,3,0,0,1
RV-GL-ED-R,11,0,0,1
RV-GL-FIN-L,125,0,0,1
RV-GL-FIN-U,95,0,0,1
RV-GL-LVR-2.4M,199,0,0,1
RV-LSKT,8560.07,5000,10000,1
RV-LSKT-WH,81.38,0,0,1
RV-LVR-BK-2.4M,0,0,0,1
RV-LVR-SV-2.4M,147.74,0,200,1
RV-ORING,15599.45,0,10000,1
RV-RD-120D,0,0,0,1
RV-RD-SP,0,0,0,1
RV-SCREW,45850.961,10000,40000,1
RV-SEAL,64778.446,0,10000,1
RV-SEALANT,188.787,0,100,1
RV-STK,25,0,0,1
RV-USKT,6691.07,5000,10000,1
RV-USKT-WH,1520.38,0,0,1
RVC-EC,709,0,200,1
RVC-EC-BK,0,0,0,1
RVC-EC-G1,150,0,0,1
RVC-SPL,1879,0,200,1
RVCL-EC,299,0,100,1
RVCL-EC-BK,0,0,0,1
RW-3000-120D,0,0,0,1
RW-3000-SP,0,0,0,1
RW-CONTACT,0,0,0,1
RW-GASKET,0,0,0,1
RW-LSKT,0,0,0,1
RW-SCREW,0,0,0,1
RW-USKT,0,0,0,1
SC-360BB,5,0,0,1
SC-360BB-12,3,0,0,1
SC-5A,14,0,0,1
SD277-120-250,1,0,0,1
SD277-120-500,20,0,0,1
SH-01,971,0,0,1
SH-02,105979.21,0,50000,1
SH-03,6160,0,0,1
SH-04,86938,0,0,1
SL-101,1760,0,0,1
SL-102,5373,0,0,1
SL-A,6157,0,0,1
SL-B,5128,0,0,1
SL-G,4757,0,0,1
SL-LK,3109,0,0,1
SL-MB-BK,3940,0,0,1
SL-MB-WG,6014,0,0,1
SL-R,5668,0,0,1
SL-W,2900,0,0,1
SLBK-12-102,27,0,0,1
SLBK-4-101,24,0,0,1
SLBK-4-102,42,0,0,1
SLBK-8-101,47,0,0,1
SLBK-8-102,49,0,0,1
SLBK-8-102-48L,100,0,0,1
SLE-90BK,10,0,0,1
SLE-90GR,5,0,0,1
SLE-90WG,10,0,0,1
SLGR-12-102,88,0,0,1
SLGR-4-101,64,0,0,1
SLGR-4-102,11,0,0,1
SLGR-8-102,61,0,0,1
SLGR-8-75,86,0,0,1
SLN-90BK,9,0,0,1
SLN-90WG,10,0,0,1
SLWG-12-101,12,0,0,1
SLWG-12-102,4,0,0,1
SLWG-4-101,75,0,0,1
SLWG-8-101,5,0,0,1
SLWG-8-102,47,0,0,1
SLWG-8-90L,14,0,0,1
SRP,537,0,0,1
SW-DM3-BK,29,0,25,1
T12-1000,3,0,0,1
T12-1000/230,0,0,0,1
T12-1200,0,0,1,1
T12-150,43,0,50,1
T12-150-E,136,0,0,1
T12-150/277,16,0,0,1
T12-250,3,0,0,1
T12-250/230,0,0,0,1
T12-300,86,0,50,1
T12-300-E,30,0,0,1
T12-300/277,20,0,0,1
T12-500,2,0,0,1
T12-500/230,0,0,0,1
T12-500/277,1,0,0,1
T12-60-E,30,0,0,1
T12-600,83,0,50,1
T12-600/277,22,0,0,1
T12-750,10,0,0,1
T12/1200-230,28,0,0,1
T12/150-230,7,0,20,1
T12/300-230,23,0,20,1
T12/600-230,44,0,20,1
T12200,0,0,0,1
T22/600,2,0,0,1
T24-1000,30,0,0,1
T24-1000/230,0,0,0,1
T24-1200,101,0,25,1
T24-150,104,0,75,1
T24-150/277,15,0,10,1
T24-250,4,0,0,1
T24-250/230,0,0,0,1
T24-300,65,0,75,1
T24-300/277,10,0,10,1
T24-500,1,0,0,1
T24-500/230,0,0,0,1
T24-500/277,0,0,0,1
T24-600,44,0,50,1
T24-600/277,18,0,10,1
T24-750,11,0,0,1
T24-750/277,0,0,0,1
T24/1200-230,13,0,20,1
T24/150-230,58,0,20,1
T24/300-230,26,0,20,1
T24/600-230,22,0,20,1
TB-101,20193.032,0,10000,1
TB-101A,11296.378,0,10000,1
TB-101R,2108,0,0,1
TB-105,25608.368,0,10000,1
TB-105A,10972.226,0,10000,1
TB-106,14699.18,0,5000,1
TB-106A,12203.94,0,10000,1
TB-110A,161.856,0,0,1
TB-205,2859.37,0,0,1
TB-401F,0.06,0,0,1
TB-501F,0.09,0,0,1
TC-10-M,1,0,0,1
TC-10-S,7,0,0,1
TC-1000-S,5,0,0,1
TC-101A,310,0,0,1
TC-101B,19249,0,0,1
TC-101C,1984,0,0,1
TC-101G,3999,0,0,1
TC-101R,17999,0,0,1
TC-10W,9,0,0,1
TC-300-M,2,0,0,1
TC-300-S,7,0,0,1
TC-300-S-12V,5,0,0,1
TC-32-M,1,0,0,1
TC-32-S,2,0,0,1
TC-32-S-120V,2,0,0,1
TC-400BB,5,0,10,1
TC4000-BB-CUSTOM,0,0,0,1
TD-10,5,0,0,1
TDP-1253,2050,0,500,1
TDP-1254_2,100,0,25,1
TDR-BASE,56598.578,0,0,1
TDR-BK,0,0,0,1
TDR-CONN,7600,0,0,1
TDR-PG,11400.008,0,0,1
TDR-SC,15000.32,0,0,1
TDR-WB,6083,0,0,1
TDR-WH,5890,0,0,1
TDS-CS,3800,0,0,1
TDS/RIM,7788,0,0,1
TK-CN,578,0,0,1
TK-CN-2418,0,0,0,1
TKN-CH-R,123,0,0,1
TKN-CH-S,590,0,0,1
TKN-CP,464,0,0,1
TKN-EC,904,0,0,1
TLED-AM,15026.14,0,5000,1
TLED-BL,15560.72,0,5000,1
TLED-GR,13500.19,0,5000,1
TLED-IW,20756.11,0,10000,1
TLED-IW-HB,14914.995,0,10000,1
TLED-IW-UB,23596.53,0,10000,1
TLED-LW,6055.267,0,2500,1
TLED-LW-HB,5979.617,0,2500,1
TLED-LW-UB,4406.54,0,2500,1
TLED-MG,5341.57,0,2500,1
TLED-PL,3687.06,0,2500,1
TLED-RD,10552.09,0,5000,1
TLED-WH,15598.05,0,10000,1
TLED-WH-HB,17808.528,0,10000,1
TLED-WH-UB,18219.67,0,5000,1
TLED-WW,24313.962,0,20000,1
TLED-WW-CUT,811,0,0,1
TLED-WW-HB,38694.31,67000,15000,1
TLED-WW-UB,10212.706,0,5000,1
TLM-100,1227,0,0,3.28
TLM-30,381,0,0,3.28
TLM-50,846,0,0,3.28
TLN-2500K,175.842,0,100,1
TLN-2700K,281.481,0,100,1
TLN-3000K,181.655,0,100,1
TLN-4000K,164.464,0,100,1
TLN-5000K,1,0,0,1
TLN-BASE,402.245,0,250,1
TLN-CP,3399,0,2500,1
TLN-CP-MG,900,0,500,1
TLN-CVR-CL,392.402,0,250,1
TLN-CVR-DF,301.843,0,250,1
TLN-DSTAPE,36.862,0,20,1
TLN-ED-CL,1502,0,500,1
TLN-ED-DF,825,0,500,1
TLN-JW,5200.177,0,500,1
TLN-NLVR,3737,0,2000,1
TLN-RGB,28.206,0,25,1
TLN-SILICONE,51.66,0,5,1
TLP-100,1139.59,0,0,3.28
TLP-150,1875.72,0,0,3.28
TLP-30,3501.5,0,0,3.28
TLP-300,2207,0,0,3.28
TLP-50,1105.13,0,0,3.28
TLP-80,913.54,0,0,3.28
TLW WIRE,255,0,0,3.28
TLW-100,2298.6,0,1000,3.28
TLW-150,1347.56,0,1000,3.28
TLW-25,0,0,0,3.28
TLW-30,2031.64,0,1000,3.28
TLW-300,1403,0,1000,3.28
TLW-50,3894.86,0,1000,3.28
TLW-80,2298.893,0,1000,3.28
TLX-2000K,1870,0,1000,1
TLX-2400K,3188,0,2000,1
TLX-2700K,3832,0,2000,1
TLX-3000K,5019,0,2000,1
TLX-3000K-BK,175,0,0,1
TLX-4500K,1108,0,1000,1
TLX-5700K,1123,0,0,1
TLX-CLB,546,0,500,1
TLX-CLB-OLD,320,0,0,1
TLX-CON-WG2,176,200,250,1
TLX-CON-WH12.2,24,0,0,1
TLX-CON-WH16,0,0,0,1
TLX-CON-WH2,673,0,250,1
TLX-CON-WH24,0,0,0,1
TLX-CON-WH3,4,0,0,1
TLX-CON-WH8,4,0,0,1
TLX-CP,4621,0,2000,1
TLX-CP-WG,1082,0,250,1
TLX-ED,4081,0,1000,1
TLX-ED-BK,103,0,100,1
TLX-ED-G1,2831,0,500,1
TLX-ED-WG,1519,0,500,1
TLX-FC,750,0,500,1
TLX-FLC-WG2,719,0,250,1
TLX-FLC-WH1524,0,0,0,1
TLX-FLC-WH153,0,0,0,1
TLX-FLC-WH2,1025,0,500,1
TLX-FLC-WH3048,0,0,0,1
TLX-FLC-WH305,0,0,0,1
TLX-FLC-WH4572,0,0,0,1
TLX-FLC-WH458,10,0,0,1
TLX-FLC-WH762,10,0,0,1
TLX-IW,153,0,0,1
TLX-KT,1719,0,1000,1
TLX-LC,198,0,250,1
TLX-LC2-BK,0,0,0,1
TLX-LEAD,499.6,0,500,1
TLX-NW,1105,0,0,1
TLX-RC,7621,0,2500,1
TLX-RC-BK,2226,0,2500,1
TLX-RD,32,0,0,1
TLX-RIVET,1300,0,0,1
TLX-SPACER,2053.295,0,1000,1
TLX-TK,754.49,0,400,1
TLX-TK-BK,459.111,0,400,1
TLX-WG-2400K-SP,258,0,500,1
TLX-WG-2700K-SP,1954,0,2000,1
TLX-WG-3000K-SP,2186,0,2000,1
TLX-WG-5700K-SP,26,0,0,1
TLX-WG-BKT,1982,0,500,1
TLX-WG-CH,5537.52,0,5000,1
TLX-WG-CH-MILL,380,0,0,1
TLX-WG-LVR,3396.5,0,2500,1
TLX-WG-LVR-R,600,0,0,1
TLX-WW,285,0,0,1
TLXBK-FC200,103,0,100,1
TLXBK-FC50,192,0,100,1
TLXBK-LC-CLB,133,0,100,1
TP-01,13275,0,2500,1
TP-02,4700,0,2500,1
TP-03,467,0,0,1
TP-RF,1182,0,0,1
TRI-100-RGB,1067.89,0,1500,0.328
TRI-150-RGB,1524.44,0,1500,0.492
TRI-200-RGB,0,0,0,0.656
TRI-250-RGB,0,0,0,0.82
TRI-300-RGB,0,0,0,1.02
TRI-350-RGB,0,0,0,1.148
TRI-50-RGB,1383.558,0,1500,0.164
TRI-CH-B-SC,351.49,0,100,1
TRI-CH-C-SC,231.66,0,100,1
TRI-CH-ECD,349,0,100,1
TRI-CH-ECL,348,0,100,1
TRI-LEAD,1542.8,0,1000,3.28
TRI-LNS,1140,0,1000,1
TRI-MC,1431,0,1000,1
TRI-MT,3156.173,0,2500,8.2
TRI-MT-RD,902,0,0,1
TRI-PF,1115,0,1000,1
TRI2-50-RGB,10,0,0,0
TRI2-ED,500,0,100,1
TS-101,2512,0,2000,1
TTC-F,68,0,50,1
TTC-M,68,0,50,1
TX-BKT,3567,0,0,1
TXB-2A,2031.76,0,0,1
TXB-A,13500.04,0,0,1
TXB-A-SA,4200.35,0,0,1
TXB-B,0,0,0,1
TXB-BK2,0,0,0,1
TXB-SC,0,0,0,1
TXB-W,5200.45,0,5000,1
TXB-W2,1119,0,0,1
TXLC-W,7200,0,0,1
TXP-CS,4700,0,0,1
TXRC-A,9999.8,0,0,1
TXRC-A-PA,0,0,0,1
TXRC-A-SA,2500.35,0,0,1
TXRC-B,560,0,0,1
TXRC-BK,1000,0,0,1
TXRC-W,23981.96,0,5000,1
TXS-CS,2731.26,0,0,1
TXS-CSR,1194,0,0,1
VT-12,7734,0,0,1
WF-20,67,0,50,1
WF-50,25,0,25,1
WF-CL20,0,0,0,1
WF-CL50,7.56,0,0,1
WFL-1,8189,0,1000,1
WFL-108,18,0,0,1
WFL-20,40,0,0,1
WFT-32,232,0,100,1
WM-1011,13,0,10,1
WM-1211,3.68,0,50,1
WM-1220,91,0,0,1
WP-101A,1499,0,0,1
WP-101B,0,0,0,1
WP-101C,4600.39,0,0,1
WP-101G,0,0,0,1
WP-101MR,799,0,0,1
WP-101MV,849,0,0,1
WP-101R,6000,0,0,1
WP-101RI,699,0,0,1
WP-101W,630,0,0,1
WP-105A,4500,0,0,1
WP-105B,1900,0,0,1
WP-105C,1500,0,0,1
WP-105G,3500,0,0,1
WP-105R,3800,0,0,1
WP-105W,1500,0,0,1
WP-FF-GR,25712,0,0,1
WP-L01C,56708.684,80000,25000,1
WP-L01C-S,680.7,0,0,1
WP-L02C,27364.896,0,25000,1
XB-3F,1328,5000,2500,1
XB-5C,2412,0,0,1
XB-5F,5529.08,0,0,1
XB-5FB,1160.55,0,0,1
XB-8F,23850.2,0,0,1
XB-8FB,7349.91,0,0,1
XB-8FU,967,0,0,1
